SKU,CATEGORY,SUBCATEGORY,NAME,DESCRIPTION,PRICE,QUANTITY,URL,EXTRAURL
1004-1021,TABLES,Buffet Communal Table Short,Buffet Communal Dinner Height Table Short (Table Only),"26"" x 48"" Faux antique acacia wood buffet communal dinner height 30"" table short ",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041021.JPG,
1004-1022,TABLES,Buffet Communal Table Short,Buffet Communal High Boy Table Short (Table Only),"26"" x 48""Faux antique acacia wood buffet communal high boy 42"" short table",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041022.JPG,
1004-1023,TABLES,Carmel Table Package,Carmel High Boy Table Long & Six Distress Gun Metal Stools (Package One)," 26"" x 72"" Faux antique acacia wood high boy 42"" with six distress gun metal stools",150,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041023.JPG,
1004-1024,TABLES,Carmel Table Package,Carmel High Boy Table Long & Six Padded Wood Stools (Package Two),"26"" x 72"" Carmel high boy 42"" table long with six padded natural wood bar stools ",140,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041024.JPG,
1004-1025,TABLES,Carmel Registration Table Package,Carmel Registration Table Long. Dinner Height Two Silver Metal Bistro Chairs (Package One),"26"" x 72"" Carmel reception table long, dinner height 30"" with two silver metal bistro chairs ",100,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041025.JPG,
1004-1026,TABLES,Carmel Registration Table Package,Carmel U Shape Registration Table. Two Silver Metal Bistro Chairs (Package Two),"Three carmel Ttables to form a ""U"" it inlcudes one long table plus two short tables with two silver metal bistro chairs",220,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041026.JPG,
1004-1027,TABLES,Carmel Table Long,Carmel Dinner Height Table Long (Table Only),"26"" x 72"" Faux antique acacia wood dinner height 30""",85,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041027.JPG,
1004-1028,TABLES,Carmel Table Long,Carmel High Boy Table Long (Table Only),"26"" x 72"" Carmel high boy 42"" long table",85,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041028.JPG,
1004-1029,TABLES,Carmel Table Short,Carmel Dinner Height Table Short (Table Only),"26"" x 48"" Carmel dinner height 30"" short table ",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041029.JPG,
1004-1030,TABLES,Carmel Table Short,Carmel High Boy Table Short (Table Only),"26"" x 48"" Carmel high boy 42"" short table",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041030.JPG,
1004-1031,TABLES,Descansa,4' x 8' Descansa Table High Boy  (Table Only),4' x 8' Descansa table high boy 42''. Table Only,125,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041031B.JPG,
1004-1032,TABLES,Descansa,4' x 8' Descansa Table Double Barrel High Boy (Table Only),"4' x 8' Descansa table high boy 41"" double barrel table only",150,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041032.JPG,
1005-1001,SEATING,Benches,Bench Descansa Long 9',"14"" x  9' x 14"" Heavy duty wood descansa bench",40,24,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051001.JPG,
1005-1002,SEATING,Benches,Bench Descansa Short 7',"14"" x 7' x 14"" Heavy duty wood descansa bench",40,16,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051002.JPG,
1005-1003,SEATING,Bistro Chairs,Silver Metal Bistro Chair,Silver metal bistro chair,10,160,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051003.JPG,
1005-1004,SEATING,Stools,Distress Gun Metal Stool,"30"" Distress gun metal stool",12,100,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051004.JPG,
1005-1005,SEATING,Stools,Padded Natural Wood Bar Stool,"30"" Padded natural wood bar stool",10,120,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051005.JPG,
1005-1006,SEATING,Benches,Sonoma Fire Pit Bench,"26"" x 48"" x 14"" Faux antique Acacia Wood with wood accents",40,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051006.JPG,
1005-1007,SEATING,Benches,Expresso Fire Pit Bench,"24"" x 48"" x14"" Plywood fire pit bench",40,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/SEATING/10051007.JPG,
1006-1001,TRUSS,Custom Truss Box,Custom Truss Box,"With an extensive inventory of trusses, we can make a variety of entryways & displays. See gallery and call us to brainstorm your ideas!",Call for pricing,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061001.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061001A.JPG
1006-1002,TRUSS,Custom Truss Entries,Custom Truss Entries,Got a special request or a custom vision?  Call us to discuss and get a quote,,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061002.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061002A.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061002B.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TRUSS/10061002C.JPG
1007-1003,WESTERN,Western Entrance,Full Western Entrance Vignette,"Two Columns with Bases, a Horizontal beam with Wowdy Sign Includes customized one color sign, Two 10 foot split rail fence sections, two up lights, two green faux saguaros, and an assortment of cowboy and western items. Does not inlcude hay bales, see image for setup display. ",1225,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071003.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071003A.JPG
1007-1004,WESTERN,10 Foot Split Rail Fence Vignette,10 Foot Split Rail Fence with Vignette Decorations,"Split rail fence vignette with 10 foot section, green faux saguaro, wine barrel, and western assorted items. NOTE: all 10 foot split rail section vignettes may vary in decor items except for saguaros and barrels.  ",250,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071004.JPG,
1007-1005,WESTERN,Western Entrance,Full Western Entrance Vignette with Custom Letter Lights,"Western entrance vignette with lit rusted letters. Includes spit rail fence, rope lit cacti or green saguaros, and up to 4 letters. Packages are flexible call us for pricing",2500,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071005.JPG,
1007-1006,WESTERN,10 Foot Split Rail Fence Vignette,10 Foot Split Rail Fence,"Split rail 10 foot fence section with no additional décor items. Includes: two posts, and  two 10 foot split rails ",95,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071006.JPG,
1007-1007,WESTERN,Mexican Sarapes,Mexican Sarapes,"60"" x 87"" Colorfull mexican sarapes saltillo style ",10,30,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/WESTERN/10071007.JPG,
1007-1008,WESTERN,Distress Faux Leather Overlay,Distres faux Leather Overlay,Distress round  faux leather overlays,35,20,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1008-1001,NATIVE AMERICAN,Iron Kokopelli,Iron Kokopelli Tall 14',14' Iron Kokopelli Tall (does not include vignette),475,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/NATIVEAMERICAN/10081001.JPG,
1008-1002,NATIVE AMERICAN,Iron Kokopelli,Iron Kokopelli Tall 6',6' Iron Kokopelli Tall  (does not include vignette),325,1,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1009-1001,WINE BARRELS,Wine Barrels,Wine Barrels,Enhace your Decor with these French Oak Reclaimed Prime Wine Barrels  Custom Labels can be applied to these Barrels,50,40,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARRELS/10091002.JPG,
1009-1002,WINE BARRELS,Wine Barrels Custom,Wine Barrels Custom,"We can install your company logo, label, or sign on our wine barrels, call for pricing",,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARRELS/10091002.JPG,
